               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.025094,            0.013417,            0.017104,             0.77158,             0.76108,             0.81869,             0.60395,            0.015493,           0.0058433,             0.01509,            0.006436,            0.006436,            0.006436
                  38,            0.024509,            0.013205,            0.016595,             0.78609,             0.71014,             0.80167,             0.59196,             0.01512,           0.0058772,            0.014421,            0.006337,            0.006337,            0.006337
                  39,            0.024421,            0.013333,            0.016361,             0.78178,             0.77354,             0.80948,              0.6017,            0.015503,           0.0059102,            0.014449,            0.006238,            0.006238,            0.006238
                  40,            0.024446,            0.013181,            0.014996,             0.84291,             0.72406,             0.82067,             0.61519,             0.01486,           0.0058641,            0.015578,            0.006139,            0.006139,            0.006139
                  41,            0.024401,            0.013139,            0.014962,             0.78016,              0.7417,             0.81066,             0.60454,            0.015615,           0.0059091,            0.014625,             0.00604,             0.00604,             0.00604
                  42,            0.024249,            0.013256,            0.015538,             0.77898,             0.73338,             0.80516,             0.59991,            0.015439,           0.0058117,            0.018194,            0.005941,            0.005941,            0.005941
                  43,            0.024193,            0.013171,            0.015713,             0.78692,             0.76596,             0.82121,             0.61182,            0.015433,           0.0058875,            0.013886,            0.005842,            0.005842,            0.005842
                  44,            0.023936,            0.013006,            0.015057,             0.82764,             0.70869,             0.82017,             0.61467,              0.0154,           0.0058657,            0.014482,            0.005743,            0.005743,            0.005743
                  45,            0.023658,            0.012866,            0.015132,             0.80201,             0.75256,             0.82802,             0.62122,            0.015201,           0.0057472,            0.014315,            0.005644,            0.005644,            0.005644
                  46,            0.023196,            0.012878,            0.014887,             0.80563,             0.72936,              0.8209,             0.61734,            0.015057,           0.0058395,            0.015411,            0.005545,            0.005545,            0.005545
                  47,            0.023728,            0.012968,            0.014117,             0.77826,             0.74565,             0.81094,             0.60204,            0.015415,           0.0057984,            0.015973,            0.005446,            0.005446,            0.005446
                  48,            0.023411,            0.012736,            0.015119,             0.81048,              0.7706,             0.83345,             0.62168,             0.01548,           0.0057973,            0.013637,            0.005347,            0.005347,            0.005347
                  49,            0.023207,            0.012746,            0.013441,             0.81996,             0.75314,             0.84159,             0.63597,            0.015602,           0.0057611,             0.01378,            0.005248,            0.005248,            0.005248
                  50,            0.023623,            0.012749,            0.014003,             0.82022,             0.75838,             0.83199,             0.62333,            0.015734,           0.0058252,            0.014491,            0.005149,            0.005149,            0.005149
                  51,             0.02328,            0.012712,            0.012813,             0.80059,             0.77437,             0.83233,             0.62658,            0.015516,            0.005779,             0.01337,             0.00505,             0.00505,             0.00505
                  52,            0.023459,            0.012716,            0.013502,              0.7879,             0.77986,             0.82214,             0.61235,            0.015491,           0.0058122,             0.01417,            0.004951,            0.004951,            0.004951
                  53,            0.023137,            0.012865,            0.013272,             0.82252,             0.73359,             0.81694,              0.6191,            0.015281,           0.0057726,            0.014923,            0.004852,            0.004852,            0.004852
                  54,            0.022854,            0.012449,            0.013235,             0.80455,             0.73724,               0.817,             0.61244,            0.015444,           0.0058105,            0.015898,            0.004753,            0.004753,            0.004753
                  55,            0.022979,            0.012518,            0.013268,             0.82653,             0.73473,             0.81936,             0.61573,            0.015396,           0.0057527,            0.016537,            0.004654,            0.004654,            0.004654
                  56,            0.022732,            0.012395,            0.011871,             0.80132,             0.75062,             0.81238,             0.61507,            0.015237,           0.0057989,            0.016385,            0.004555,            0.004555,            0.004555
                  57,            0.022931,            0.012393,            0.011886,             0.84393,             0.70682,             0.82245,             0.61966,            0.015181,           0.0058194,            0.015966,            0.004456,            0.004456,            0.004456
                  58,            0.022111,            0.012303,            0.011657,             0.81151,              0.7661,             0.82516,             0.62363,             0.01512,           0.0058019,            0.015711,            0.004357,            0.004357,            0.004357
                  59,            0.022489,            0.012215,             0.01161,             0.83564,             0.74217,             0.82591,             0.62332,            0.015409,           0.0057804,            0.014767,            0.004258,            0.004258,            0.004258
                  60,            0.022427,            0.012099,            0.011949,             0.83753,             0.73005,             0.82967,             0.62463,            0.015428,           0.0058457,            0.014505,            0.004159,            0.004159,            0.004159
                  61,            0.022507,            0.012143,            0.012272,             0.80616,             0.76461,             0.83603,             0.63148,            0.015139,           0.0058218,            0.014026,             0.00406,             0.00406,             0.00406
                  62,            0.022093,            0.012229,            0.011689,              0.7964,             0.77538,              0.8359,              0.6294,            0.014994,           0.0057675,            0.013888,            0.003961,            0.003961,            0.003961
                  63,            0.021563,            0.011984,            0.010626,             0.80173,              0.7618,             0.83406,             0.62691,            0.015106,           0.0057772,            0.014743,            0.003862,            0.003862,            0.003862
                  64,             0.02136,            0.011986,            0.011444,             0.76561,             0.79077,             0.82563,             0.62352,            0.015155,           0.0057975,            0.014558,            0.003763,            0.003763,            0.003763
                  65,            0.021432,            0.011914,            0.010722,             0.75717,             0.78853,             0.82586,             0.62229,            0.015237,           0.0058853,            0.015134,            0.003664,            0.003664,            0.003664
                  66,            0.021995,            0.011992,             0.01085,             0.82505,             0.72873,             0.82352,             0.62079,            0.015414,           0.0058761,            0.015587,            0.003565,            0.003565,            0.003565
                  67,             0.02123,            0.011906,            0.010522,             0.79271,              0.7733,             0.82994,             0.62474,            0.015409,           0.0058379,            0.015633,            0.003466,            0.003466,            0.003466
                  68,            0.021394,             0.01187,            0.011419,             0.80079,             0.75096,             0.82593,              0.6244,            0.015435,           0.0058502,             0.01639,            0.003367,            0.003367,            0.003367
                  69,            0.021026,            0.011734,           0.0096843,             0.82311,             0.73834,             0.82739,             0.62601,            0.015483,            0.005866,            0.015331,            0.003268,            0.003268,            0.003268
                  70,            0.020995,            0.011706,           0.0099104,              0.8126,             0.75638,             0.82717,             0.62476,            0.015438,           0.0058503,             0.01497,            0.003169,            0.003169,            0.003169
                  71,            0.021176,            0.011763,            0.010552,             0.80811,             0.75487,             0.82349,             0.62217,            0.015411,           0.0058771,            0.014602,             0.00307,             0.00307,             0.00307
                  72,            0.021074,            0.011666,           0.0097447,             0.78774,             0.77089,             0.82842,             0.62437,            0.015448,           0.0059077,            0.014342,            0.002971,            0.002971,            0.002971
                  73,            0.020664,            0.011821,            0.010128,             0.81447,             0.75373,              0.8347,             0.63229,            0.015337,           0.0059284,            0.014698,            0.002872,            0.002872,            0.002872
                  74,            0.020393,            0.011383,           0.0094069,             0.82839,             0.74324,             0.83577,             0.63422,            0.015339,            0.005864,            0.015689,            0.002773,            0.002773,            0.002773
                  75,            0.020392,            0.011381,           0.0088128,             0.81225,             0.75575,             0.83027,             0.63009,            0.015293,            0.005851,            0.016409,            0.002674,            0.002674,            0.002674
                  76,              0.0199,            0.011377,           0.0095495,             0.81416,              0.7539,             0.82858,             0.62841,            0.015422,           0.0058232,            0.016127,            0.002575,            0.002575,            0.002575
                  77,            0.020175,             0.01135,            0.008515,             0.81356,             0.74295,             0.83149,             0.63042,            0.015368,           0.0058709,            0.015467,            0.002476,            0.002476,            0.002476
                  78,            0.019501,            0.011174,           0.0084184,             0.80846,             0.74955,             0.82842,             0.62822,            0.015407,           0.0059037,            0.016079,            0.002377,            0.002377,            0.002377
                  79,            0.020073,            0.011093,            0.008476,             0.80851,             0.74922,             0.82582,             0.62994,            0.015528,           0.0059003,            0.016424,            0.002278,            0.002278,            0.002278
                  80,            0.019494,            0.011159,           0.0083575,             0.80954,             0.73781,             0.82589,             0.62939,            0.015515,            0.005917,            0.016874,            0.002179,            0.002179,            0.002179
                  81,            0.018931,            0.010841,            0.007569,             0.80989,             0.74505,             0.82229,             0.62486,            0.015532,           0.0059307,            0.017042,             0.00208,             0.00208,             0.00208
                  82,            0.019126,            0.010873,           0.0078634,             0.81472,             0.74762,             0.82263,             0.62553,             0.01552,           0.0059498,            0.016845,            0.001981,            0.001981,            0.001981
